id,key,value,type
31551114,name,Las Vegas,regular
31551114,is_in,Nevada,regular
31551114,place,city,regular
31551114,ar,لاس فيغاس,name
31551114,bn,লাস ভেগাস,name
31551114,fa,لاس وگاس,name
31551114,he,לאס וגאס,name
31551114,hy,Լաս Վեգաս,name
31551114,ja,ラスベガス,name
31551114,ka,ლას-ვეგასი,name
31551114,ko,라스베이거스,name
31551114,ml,ലാസ് വെഗാസ്,name
31551114,mr,लास व्हेगास,name
31551114,nv,Na'azhoosh hatsoh,name
31551114,ru,Лас-Вегас,name
31551114,sr,Лас Вегас,name
31551114,ta,லாஸ் வேகஸ்,name
31551114,te,లాస్ వెగాస్,name
31551114,ur,لاس ویگاس,name
31551114,yi,לאס וועגאס,name
31551114,zh,拉斯维加斯,name
31551114,wikidata,Q23768,regular
31551114,population,567641,regular
31551114,country,USA,is_in
31551114,continent,North America,is_in
137040454,power,tower,regular
137045229,power,tower,regular
137054181,ref,75,regular
137054181,highway,motorway_junction,regular
137061455,power,tower,regular
137067570,power,tower,regular
137068196,ref,56B,regular
137068196,highway,motorway_junction,regular
137072359,power,tower,regular
137081345,power,tower,regular
137084281,power,tower,regular
137087607,power,tower,regular
137087668,power,tower,regular
137087725,power,tower,regular
137092907,power,tower,regular
137107043,power,tower,regular
137116583,ref,65,regular
137116583,highway,motorway_junction,regular
137120325,power,tower,regular
137131907,power,tower,regular
137148317,highway,turning_circle,regular
137165223,noexit,yes,regular
137210736,ref,41,regular
137210736,exit_to,NV-159;Charleston Blvd,regular
137210736,highway,motorway_junction,regular
137218043,source,Bing,regular
137218043,highway,turning_circle,regular
137220944,highway,motorway_junction,regular
137223971,highway,turning_circle,regular
137234679,highway,turning_circle,regular
137239385,highway,turning_circle,regular
137245689,railway,level_crossing,regular
137245689,bell,no,crossing
137245689,light,no,crossing
137245689,barrier,no,crossing
137249017,source,Bing,regular
137249017,highway,turning_circle,regular
137253440,highway,traffic_signals,regular
137257912,highway,turning_circle,regular
137258713,highway,turning_circle,regular
137259657,highway,turning_circle,regular
137266173,highway,turning_circle,regular
137267113,highway,turning_circle,regular
137268394,source,Bing,regular
137268394,highway,turning_circle,regular
137268651,source,bing,regular
137268651,highway,turning_circle,regular
137268756,highway,turning_circle,regular
137269062,highway,turning_circle,regular
137269969,highway,turning_circle,regular
137270534,highway,turning_circle,regular
137270700,highway,turning_circle,regular
137271802,highway,turning_circle,regular
137273141,highway,turning_circle,regular
137275764,highway,turning_circle,regular
137276932,highway,turning_circle,regular
137280756,highway,turning_circle,regular
137283315,highway,turning_circle,regular
137284127,highway,turning_circle,regular
137284779,highway,turning_circle,regular
137285119,highway,traffic_signals,regular
137285909,source,Bing,regular
137285909,highway,turning_circle,regular
137289208,highway,turning_circle,regular
137290655,highway,turning_circle,regular
137290866,highway,turning_circle,regular
137293465,source,Bing,regular
137293465,highway,turning_circle,regular
137297775,highway,turning_circle,regular
137298040,highway,turning_circle,regular
137298721,highway,turning_circle,regular
137298758,highway,traffic_signals,regular
137298758,traffic_signals,signal,regular
137300275,highway,turning_circle,regular
137303375,highway,turning_circle,regular
137306303,highway,turning_circle,regular
137308097,highway,turning_circle,regular
137308612,highway,turning_circle,regular
137312540,highway,turning_circle,regular
137312811,noexit,yes,regular
137314943,highway,turning_circle,regular
137318202,source,Bing,regular
137318202,highway,turning_circle,regular
137323900,highway,turning_circle,regular
137325110,source,Bing,regular
137325110,highway,turning_circle,regular
137325713,highway,turning_circle,regular
137325814,source,Yahoo,regular
137325814,highway,turning_circle,regular
137330912,highway,turning_circle,regular
137334100,highway,turning_circle,regular
137334726,highway,turning_circle,regular
137336000,highway,turning_circle,regular
137336365,highway,turning_circle,regular
137337120,highway,turning_circle,regular
137339279,highway,turning_circle,regular
137343621,highway,turning_circle,regular
137345048,highway,turning_circle,regular
137345657,highway,turning_circle,regular
137346267,highway,turning_circle,regular
137346846,highway,turning_circle,regular
137350190,highway,turning_circle,regular
137350898,highway,turning_circle,regular
137350976,highway,turning_circle,regular
137353256,railway,level_crossing,regular
137353256,bell,no,crossing
137353256,light,no,crossing
137353256,barrier,no,crossing
137354598,bicycle,yes,regular
137354598,railway,crossing,regular
137354598,crossing,uncontrolled,regular
137354598,light,no,crossing
137354598,barrier,no,crossing
137357760,highway,turning_circle,regular
137358857,highway,turning_circle,regular
137359298,highway,turning_circle,regular
137361011,source,bing,regular
137361011,highway,turning_circle,regular
137363744,highway,turning_circle,regular
137365027,highway,turning_circle,regular
137368224,highway,turning_circle,regular
137369213,highway,turning_circle,regular
137372192,highway,turning_circle,regular
137372913,highway,turning_circle,regular
137374540,highway,turning_circle,regular
137376086,source,Bing,regular
137376086,highway,traffic_signals,regular
137376681,highway,turning_circle,regular
137381993,source,Bing,regular
137381993,highway,turning_circle,regular
137382464,highway,traffic_signals,regular
137384043,source,Yahoo,regular
137384043,highway,turning_circle,regular
137385053,highway,turning_circle,regular
137385647,highway,turning_circle,regular
137386996,highway,turning_circle,regular
137389361,highway,turning_circle,regular
137390903,highway,turning_circle,regular
137399565,source,Bing,regular
137399565,highway,turning_circle,regular
137400305,highway,turning_circle,regular
137400439,highway,turning_circle,regular
137401508,highway,turning_circle,regular
137403348,source,Bing,regular
137403348,highway,turning_circle,regular
137406979,ref,56,regular
137406979,highway,motorway_junction,regular
137408004,source,Bing,regular
137408004,highway,turning_circle,regular
137409649,highway,turning_circle,regular
137416066,source,Bing,regular
137416066,highway,turning_circle,regular
137417236,highway,traffic_signals,regular
137417236,crossing,traffic_signals,regular
137418864,highway,turning_circle,regular
137420660,highway,turning_circle,regular
137422072,highway,turning_circle,regular
137422341,highway,turning_circle,regular
137423282,source,bing,regular
137423282,highway,turning_circle,regular
137427704,highway,turning_circle,regular
137427909,junction,roundabout,regular
137427999,highway,turning_circle,regular
137429355,source,Yahoo,regular
137429355,highway,turning_circle,regular
137431527,source,Bing,regular
137431527,highway,turning_circle,regular
137433154,highway,turning_circle,regular
137435380,highway,turning_circle,regular
137435791,highway,turning_circle,regular
137438771,highway,turning_circle,regular
137442478,source,Bing,regular
137442478,highway,turning_circle,regular
137448898,highway,turning_circle,regular
137450480,highway,turning_circle,regular
137455377,highway,turning_circle,regular
137455861,source,Yahoo,regular
137455861,highway,turning_circle,regular
137456470,highway,turning_circle,regular
137458585,source,bing,regular
137458585,highway,turning_circle,regular
137462195,highway,turning_circle,regular
137463349,highway,turning_circle,regular
137466277,highway,turning_circle,regular
137468739,highway,turning_circle,regular
137472407,highway,turning_circle,regular
137472695,highway,turning_circle,regular
137474708,highway,crossing,regular
137477251,highway,turning_circle,regular
137482132,highway,turning_circle,regular
137482277,highway,crossing,regular
137482624,source,Yahoo,regular
137482624,highway,turning_circle,regular
137483105,highway,turning_circle,regular
137484223,source,Bing,regular
137484223,highway,turning_circle,regular
137487699,noexit,yes,regular
137489870,highway,turning_circle,regular
137489977,highway,turning_circle,regular
137490885,highway,turning_circle,regular
137493288,highway,turning_circle,regular
137496750,source,Bing,regular
137496750,highway,turning_circle,regular
137497333,highway,turning_circle,regular
137500613,highway,traffic_signals,regular
137501575,highway,turning_circle,regular
137502787,highway,traffic_signals,regular
