id,key,value,type
14278334,name,Grassland Circle,regular
14278334,highway,residential,regular
14278334,surface,asphalt,regular
14278387,name,Fairfield Avenue,regular
14278387,source,survey,regular
14278387,highway,residential,regular
14278436,ref,NV 147,regular
14278436,name,Lake Mead North Boulevard,regular
14278436,oneway,yes,regular
14278436,source,bing_imagery_0.25m_201105;CCA,regular
14278436,highway,secondary,regular
14278436,source_ref,APM139-22-6,regular
14278436,cfcc,A31,tiger
14278436,prefix,East,name
14278436,county,"Clark, NV",tiger
14278436,name_base,Lake Mead North,tiger
14278436,name_type,Blvd,tiger
14278436,name_base_1,State Route 147,tiger
14278436,name_base_2,Lake Mead,tiger
14278436,name_type_2,Blvd,tiger
14278436,name_direction_prefix,E,tiger
14278436,name_direction_prefix_2,E,tiger
14279102,lanes,2,regular
14279102,oneway,yes,regular
14279102,bicycle,no,regular
14279102,highway,motorway,regular
14279102,cfcc,A63,tiger
14279102,destination,Summerlin Parkway,regular
14279102,county,"Clark, NV",tiger
14279451,highway,tertiary,regular
14279451,cfcc,A41,tiger
14279451,tlid,201939687,tiger
14279451,county,"Clark, NV",tiger
14279451,source,tiger_import_dch_v0.6_20070813,tiger
14279451,reviewed,no,tiger
14279451,separated,no,tiger
14279451,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14279863,highway,track,regular
14279863,cfcc,A41,tiger
14279863,county,"Clark, NV",tiger
14279863,reviewed,no,tiger
14280375,name,Palmetto Point,regular
14280375,highway,residential,regular
14280375,cfcc,A41,tiger
14280375,county,"Clark, NV",tiger
14280375,reviewed,no,tiger
14281104,access,private,regular
14281104,highway,service,regular
14281104,cfcc,A74,tiger
14281104,tlid,201832152,tiger
14281104,county,"Clark, NV",tiger
14281104,source,tiger_import_dch_v0.6_20070813,tiger
14281104,reviewed,no,tiger
14281104,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14281568,access,private,regular
14281568,highway,service,regular
14281568,cfcc,A74,tiger
14281568,tlid,201940359,tiger
14281568,county,"Clark, NV",tiger
14281568,source,tiger_import_dch_v0.6_20070813,tiger
14281568,reviewed,no,tiger
14281568,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14282103,highway,residential,regular
14282103,cfcc,A41,tiger
14282103,tlid,201952849,tiger
14282103,county,"Clark, NV",tiger
14282103,source,tiger_import_dch_v0.6_20070813,tiger
14282103,reviewed,no,tiger
14282103,separated,no,tiger
14282103,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14282385,highway,track,regular
14282385,tracktype,grade2,regular
14282385,cfcc,A41,tiger
14282385,county,"Clark, NV",tiger
14282385,reviewed,no,tiger
14282591,access,private,regular
14282591,highway,service,regular
14282591,cfcc,A74,tiger
14282591,county,"Clark, NV",tiger
14282591,reviewed,no,tiger
14282942,oneway,yes,regular
14282942,bicycle,no,regular
14282942,highway,motorway_link,regular
14282942,junction,spui,regular
14282942,cfcc,A63,tiger
14282942,tlid,201887126:201988855:201988856,tiger
14282942,county,"Clark, NV",tiger
14282942,source,tiger_import_dch_v0.6_20070813,tiger
